ISBN,Titulo,Autor,Ano,Categoria,Total_Estoque,Disponiveis
978-8535902778,Dom Casmurro,Machado de Assis,1899,Literatura Brasileira,3,3
978-8575427583,O Alquimista,Paulo Coelho,1988,Ficção,5,5
978-0743273565,O Grande Gatsby,F. Scott Fitzgerald,1925,Clássico,2,2
978-8501000484,Grande Sertao: Veredas,Guimarães Rosa,1956,Literatura Brasileira,2,2
978-0132350884,Clean Code,Robert C. Martin,2008,Tecnologia,4,4
978-0201633610,Design Patterns,Erich Gamma,1994,Tecnologia,2,2
978-8532530783,Harry Potter e a Pedra Filosofal,J.K. Rowling,1997,Fantasia,10,10
978-8576082675,O Guia do Mochileiro das Galaxias,Douglas Adams,1979,Ficção Científica,4,4
978-8501062086,1984,George Orwell,1949,Ficção Científica,3,3
978-8535914849,O Alienista,Machado de Assis,1882,Literatura Brasileira,5,5
978-8580333244,O Minimo que Voce Precisa Saber para Nao Ser um Idiota,Olavo de Carvalho,2013,Filosofia,3,3
978-8542205565,O Jardim das Aflicoes,Olavo de Carvalho,2015,Filosofia,2,2
979-8692736113,The Bitcoin Standard,Saifedean Ammous,2018,Economia/Tecnologia,5,5
978-8576081234,Bitcoin: A Moeda na Era Digital,Fernando Ulrich,2014,Economia,4,4
978-4088725093,Naruto Vol 1,Masashi Kishimoto,1999,Mangá,8,8
978-4088734911,Naruto Vol 2,Masashi Kishimoto,2000,Mangá,6,6
